key,date,value01risk,value02risk,value03risk,value04risk,value05risk,value06risk,value07risk,value01ind,value02ind,value03ind,value04ind,value05ind,value06ind,value07ind,deaths01,deaths02,deaths03,deaths04,deaths05,deaths06,deaths07,illnesses01,illnesses02,illnesses03,illnesses04,illnesses05,illnesses06,illnesses07,disruption01,disruption02,disruption03,disruption04,disruption05,disruption06,disruption07
heat,2093,101.2,72.1,144,66.3,105.4,80.4,122.1,0,0,0,0,0,0,0,84.8,57.6,118,52.8,85.6,64.6,99.6,198.4,134.8,275.9,123.6,200.3,151.2,233,6.78,4.33,9.15,3.95,6.57,4.89,7.69
heat,2094,102.6,72.6,146.2,67,106.3,81,123.1,0,0,0,0,0,0,0,86.2,58.2,119.9,53.4,86.4,65.2,100.5,201.6,136.1,280.5,125,202.1,152.6,235.1,6.87,4.37,9.29,3.99,6.62,4.93,7.74
heat,2095,104.1,73.2,148.4,67.6,107.1,81.7,124,0,0,0,0,0,0,0,87.6,58.7,122,54,87.2,65.8,101.4,204.9,137.4,285.3,126.4,204,154,237.3,6.97,4.4,9.43,4.02,6.67,4.97,7.8
heat,2096,105.6,73.8,150.6,68.3,107.9,82.3,125,0,0,0,0,0,0,0,89,59.3,124,54.6,88,66.5,102.4,208.2,138.6,290,127.8,205.9,155.4,239.5,7.08,4.43,9.58,4.06,6.72,5,7.86
heat,2097,107.1,74.4,152.9,69,108.8,83,125.9,0,0,0,0,0,0,0,90.4,59.8,126.1,55.2,88.8,67.1,103.3,211.5,139.9,294.9,129.2,207.7,156.9,241.7,7.18,4.46,9.72,4.1,6.77,5.04,7.92
heat,2098,108.7,75,155.2,69.6,109.6,83.7,126.9,0,0,0,0,0,0,0,91.9,60.4,128.2,55.8,89.6,67.7,104.3,214.9,141.2,299.8,130.6,209.7,158.3,243.9,7.28,4.5,9.87,4.14,6.82,5.08,7.97
heat,2099,110.2,75.6,157.5,70.3,110.5,84.3,127.9,0,0,0,0,0,0,0,93.3,61,130.3,56.5,90.5,68.3,105.2,218.3,142.6,304.7,132.1,211.6,159.8,246.1,7.39,4.53,10.02,4.18,6.87,5.11,8.03
heat,2100,111.8,76.2,159.8,71,111.3,85,128.9,0,0,0,0,0,0,0,94.8,61.5,132.4,57.1,91.3,69,106.2,221.8,143.9,309.7,133.5,213.5,161.3,248.4,7.49,4.56,10.16,4.21,6.92,5.15,8.09
flood,2015,45.3,45.3,45.3,45.3,45.3,45.3,45.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01
flood,2016,45.5,45.5,45.5,45.6,45.6,45.4,45.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01
